Twin 1,Twin 2
99640423032177796218449,99640423032177796218451
144176197073865330424049,144176197073865330424051
2667311967029621497636049,2667311967029621497636051
3022070381400225535379999,3022070381400225535380001
7162244018522799057101249,7162244018522799057101251
7285198751838078316244999,7285198751838078316245001
7711072091111715362086049,7711072091111715362086051
9848852030508452465704199,9848852030508452465704201
14522031820494605931574049,14522031820494605931574051
16428761503584843797584199,16428761503584843797584201
17560154334737864520871199,17560154334737864520871201
25047940630149032748352199,25047940630149032748352201
48863445798941441664796799,48863445798941441664796801
49505112543357860743153799,49505112543357860743153801
61842798589285262107008449,61842798589285262107008451
69934224607762404746656799,69934224607762404746656801
70163956370758459287528449,70163956370758459287528451
73106498584227099940398449,73106498584227099940398451
78604050620219866175233799,78604050620219866175233801
86159163788324694551934449,86159163788324694551934451
86499209491627955386414049,86499209491627955386414051
92999067585141632987872799,92999067585141632987872801
100558429231691227609612799,100558429231691227609612801
105104447666847825879132449,105104447666847825879132451
108508420682041620081892049,108508420682041620081892051
110615331135201755158746449,110615331135201755158746451
111289960212379291655512199,111289960212379291655512201
113131434940835139610031249,113131434940835139610031251
116563180029409253059919999,116563180029409253059920001
119545486326843686154044999,119545486326843686154045001
134597154817297402249219199,134597154817297402249219201
142676065613557942846830449,142676065613557942846830451
153247347335863863354472199,153247347335863863354472201
153927689884053326870428799,153927689884053326870428801
170468962816796118122848199,170468962816796118122848201
184856612961951590756896799,184856612961951590756896801
219563061231204401100840449,219563061231204401100840451
227634814492351099059025799,227634814492351099059025801
240370141377936424835430449,240370141377936424835430451
245790781304153250427312049,245790781304153250427312051
299350804917224927636569799,299350804917224927636569801
311987349446853126927330449,311987349446853126927330451
319956469514437590079244999,319956469514437590079245001
325710227821961530559261249,325710227821961530559261251
332015220975577580044654049,332015220975577580044654051
337707763522259445319054049,337707763522259445319054051
356283597203809874559160199,356283597203809874559160201
361657462010203781147776049,361657462010203781147776051
367071551326798873563808799,367071551326798873563808801
381944155868615052749836799,381944155868615052749836801
388949687539382139280560449,388949687539382139280560451
397476844204263386460697799,397476844204263386460697801
399120251937639097749934049,399120251937639097749934051
411832348226802302679079199,411832348226802302679079201
453694301548768972519027199,453694301548768972519027201
462900168341550561209638049,462900168341550561209638051
486622060485301396657801799,486622060485301396657801801
558745842055477049297374049,558745842055477049297374051
563079708638443522315840049,563079708638443522315840051
564165791342340784810012799,564165791342340784810012801
579921409689780498038899199,579921409689780498038899201
584115327625652626818064049,584115327625652626818064051
589434506352360946222996049,589434506352360946222996051
589878859526446054177062449,589878859526446054177062451
596117383874443494823810049,596117383874443494823810051
610500094901801111133576449,610500094901801111133576451
620943566486854876673458049,620943566486854876673458051
639085762368525716764720199,639085762368525716764720201
666198337952039673678697799,666198337952039673678697801
703548114167151159132025799,703548114167151159132025801
712800421224311744363239199,712800421224311744363239201
714022329667650055775172449,714022329667650055775172451
734954875963526777238880199,734954875963526777238880201
750664723757475338852490449,750664723757475338852490451
773650017638457737057279999,773650017638457737057280001
847080551650075555086073799,847080551650075555086073801
848412543820603376098534049,848412543820603376098534051
857765788865641338668785799,857765788865641338668785801
866900896517429061967879199,866900896517429061967879201
912196541275237644571945799,912196541275237644571945801
929410036511654779620739199,929410036511654779620739201
948756163285018343909704049,948756163285018343909704051
993229821641858261291280449,993229821641858261291280451
1096110975660317651164180049,1096110975660317651164180051
1097626091901740568945577799,1097626091901740568945577801
1198036515027218068058056199,1198036515027218068058056201
1210419239130353040650111249,1210419239130353040650111251
1216474911477503571528835199,1216474911477503571528835201
1251831042093361694901136199,1251831042093361694901136201
1291636564420339540910707199,1291636564420339540910707201
1340761532320984425915463199,1340761532320984425915463201
1344113853883953180252424199,1344113853883953180252424201
1354195932731153627963047199,1354195932731153627963047201
1456739405962882459394026049,1456739405962882459394026051
1460932968114845420556611249,1460932968114845420556611251
1479526632848784720933532799,1479526632848784720933532801
1504974307165116193486079999,1504974307165116193486080001
1517423081504564871838451249,1517423081504564871838451251
1551110711157218344375692449,1551110711157218344375692451
1554355523194222743043849799,1554355523194222743043849801
1644730935590836145603801249,1644730935590836145603801251
1689559708145955834639701249,1689559708145955834639701251
1804268626154644450702151249,1804268626154644450702151251
1818286847031292466403024449,1818286847031292466403024451
1907529338818789952003788049,1907529338818789952003788051
1916731396630896922681604999,1916731396630896922681605001
1931179069614375496748032199,1931179069614375496748032201
1976881082381849232947808449,1976881082381849232947808451
2010380020991852397774336449,2010380020991852397774336451
2054515286994143421480832799,2054515286994143421480832801
2126044114154329838583564449,2126044114154329838583564451
2173983337999580038144012799,2173983337999580038144012801
2202230487540964279176577799,2202230487540964279176577801
2244943078332820229950636049,2244943078332820229950636051
2284565999800534108039180799,2284565999800534108039180801
2297704471712136833708161799,2297704471712136833708161801
2318804382944579051041720199,2318804382944579051041720201
2337788279841479491344768449,2337788279841479491344768451
2363517065302983871303072049,2363517065302983871303072051
2373758849268470088550124999,2373758849268470088550125001
2391175957543257326052060449,2391175957543257326052060451
2420796098118584644619411249,2420796098118584644619411251
2492902425348745838892664199,2492902425348745838892664201
2576273666424833089926461249,2576273666424833089926461251
2614495406215918668154762049,2614495406215918668154762051
2621049196964369107398912449,2621049196964369107398912451
2628549289197344426129266049,2628549289197344426129266051
2732283885100035947561080199,2732283885100035947561080201
2799166006978771330902251249,2799166006978771330902251251
2805947164573645122294714449,2805947164573645122294714451
2847782831743263878815601249,2847782831743263878815601251
2853644978572292471428912049,2853644978572292471428912051
2910623143771528912042366049,2910623143771528912042366051
2993641154211208455274319999,2993641154211208455274320001
3058061983934787512271388799,3058061983934787512271388801
3099182588232375094928928449,3099182588232375094928928451
3125725742133498904084134449,3125725742133498904084134451
3151868387995226202740236799,3151868387995226202740236801
3153409581104344582301531249,3153409581104344582301531251
3165752687622770478529746449,3165752687622770478529746451
3174510308546931360637831199,3174510308546931360637831201
3177088381538155645835724449,3177088381538155645835724451
3235111463150152131189694049,3235111463150152131189694051
3247613291148997274720266049,3247613291148997274720266051
3295760313725666607517146449,3295760313725666607517146451
3398448925863870581358706049,3398448925863870581358706051
3435351983988324256465408799,3435351983988324256465408801
3440180118134985529528674449,3440180118134985529528674451
3456298384928193269821806449,3456298384928193269821806451
3464910197234991164593984049,3464910197234991164593984051
3600861507467511005853184049,3600861507467511005853184051
3646575784315618402247999999,3646575784315618402248000001
3877193260889313102017730449,3877193260889313102017730451
3894303536935141137950592449,3894303536935141137950592451
3947009951236258722369604049,3947009951236258722369604051
3962545381200854171243519999,3962545381200854171243520001
4002385665708604217908314449,4002385665708604217908314451
4006438567645654499598439199,4006438567645654499598439201
4012811557382852054158378049,4012811557382852054158378051
4131331360556495992021124999,4131331360556495992021125001
4161378379037428715022306449,4161378379037428715022306451
4333098947789746017964530449,4333098947789746017964530451
4526740158467559494227816049,4526740158467559494227816051
4568697043307878182232781249,4568697043307878182232781251
4615819073370700856817606449,4615819073370700856817606451
4707649055958782946878665799,4707649055958782946878665801
4739719773315061072984896449,4739719773315061072984896451
4759898162365828673069328449,4759898162365828673069328451
4831496011604393607788512199,4831496011604393607788512201
4852505951364746908435252049,4852505951364746908435252051
4881868588103697853214602049,4881868588103697853214602051
4946005962693996545567272049,4946005962693996545567272051
