Twin 1,Twin 2
138226714600462893183185070838512168815911854019096938722694202164628130560167900217139462531713799,138226714600462893183185070838512168815911854019096938722694202164628130560167900217139462531713801
631179841348994521166272542814252590719727965140563742629366155192135310162727092717578632102048799,631179841348994521166272542814252590719727965140563742629366155192135310162727092717578632102048801
7583302733901530203036116194410581055883646953023510962407474153608162985574337804877618398805020799,7583302733901530203036116194410581055883646953023510962407474153608162985574337804877618398805020801
11573167020961595173556049267869054044237175631731360846282694522196878446103897856428200921741718449,11573167020961595173556049267869054044237175631731360846282694522196878446103897856428200921741718451
11951318573686318566279201902497716894367976544167939017437662477309837313365813619592174178778124049,11951318573686318566279201902497716894367976544167939017437662477309837313365813619592174178778124051
25433636050438599915860254604258830383981350910709064947108274841303097890262991737742647049052161249,25433636050438599915860254604258830383981350910709064947108274841303097890262991737742647049052161251
38724031542291896092151972146780158112678928509706211108742848134888558765563066459241025860029600799,38724031542291896092151972146780158112678928509706211108742848134888558765563066459241025860029600801
41663169262254017867440841572474955627611051153120093929374633229685811180338877293287467167514791199,41663169262254017867440841572474955627611051153120093929374633229685811180338877293287467167514791201
54421669979018313127946928077508613206092544625796144371021345300910956449340030119519987500610018449,54421669979018313127946928077508613206092544625796144371021345300910956449340030119519987500610018451
65327018156445490587875576104952910073290786695811168685581632620972172379412636087953013046174711249,65327018156445490587875576104952910073290786695811168685581632620972172379412636087953013046174711251
67318634219729457015893485539122869201449119313833818938240910449851287301423020667655311842873603199,67318634219729457015893485539122869201449119313833818938240910449851287301423020667655311842873603201
78499912747484847469430321593535404959616842641832973913723133974449705372805438589887825637703061249,78499912747484847469430321593535404959616842641832973913723133974449705372805438589887825637703061251
84665997973683211163763387271841185729292191705637721373974205226896085563203296304695242050305536199,84665997973683211163763387271841185729292191705637721373974205226896085563203296304695242050305536201
88999551558797771786357569185647500067520186812800028439713340311193850450182990896040303258557790449,88999551558797771786357569185647500067520186812800028439713340311193850450182990896040303258557790451
98720145573843783867645149654114577467454356736295113236433205642645885306145550740988357228419832449,98720145573843783867645149654114577467454356736295113236433205642645885306145550740988357228419832451
103985446515419657699452180680921191803805902596635671018653463316420224382263661143843863910527186449,103985446515419657699452180680921191803805902596635671018653463316420224382263661143843863910527186451
110231911028793776695865861518030289615134501043724203369090950538440628668244671329881654962953145799,110231911028793776695865861518030289615134501043724203369090950538440628668244671329881654962953145801
140118196281265651347093676307942999888164458590953504459789464325578489767160811462542721070221770449,140118196281265651347093676307942999888164458590953504459789464325578489767160811462542721070221770451
140386060625481211008246419977725621743447675420931092015867908872386261379014169257871631037949378449,140386060625481211008246419977725621743447675420931092015867908872386261379014169257871631037949378451
146720261003300135806611042276490821412191693811996896231952971225335032563071133865184966454301308449,146720261003300135806611042276490821412191693811996896231952971225335032563071133865184966454301308451
148403134133445926678678944266458911691511082483734781693005218696914261025800755966465253596669011249,148403134133445926678678944266458911691511082483734781693005218696914261025800755966465253596669011251
