Twin 1,Twin 2
23235938257443226012961012930715315590641666489433794347765789564884356591803151524849475007095135956062083744603155971912267512880017799,23235938257443226012961012930715315590641666489433794347765789564884356591803151524849475007095135956062083744603155971912267512880017801
142635222682580872357574888019334202810363502290674456905108954611261601747321818538372050188352320428880993465423160160840820580289991199,142635222682580872357574888019334202810363502290674456905108954611261601747321818538372050188352320428880993465423160160840820580289991201
337462592217627225129599566920986998210503246520487498733141843566577201959853715900957366334078700849859261148198544230473365431237536799,337462592217627225129599566920986998210503246520487498733141843566577201959853715900957366334078700849859261148198544230473365431237536801
614906631112471714836596736242960915710702249379398476019897539863703847832130152018563038060587786892391604367340705089127305883536256799,614906631112471714836596736242960915710702249379398476019897539863703847832130152018563038060587786892391604367340705089127305883536256801
985479040650035304866573832269869797123048274497698259270910939566535784195427238879003076276141200790307549733579869258389744071611241799,985479040650035304866573832269869797123048274497698259270910939566535784195427238879003076276141200790307549733579869258389744071611241801
1348969409279760189807144758326342409201608902701707173851599322778325549672302800106683647575810905612236279840045584457351083670870942049,1348969409279760189807144758326342409201608902701707173851599322778325549672302800106683647575810905612236279840045584457351083670870942051
2726995531602711941798896656452005788068362247718271697758623914212122405565786533124695330693804150398952883915231499481370284497724311249,2726995531602711941798896656452005788068362247718271697758623914212122405565786533124695330693804150398952883915231499481370284497724311251
5292441881103055325503015407348162521036993415497094350870023265360762270002374898317833268077747047054625459953367960925577384921793356049,5292441881103055325503015407348162521036993415497094350870023265360762270002374898317833268077747047054625459953367960925577384921793356051
5885679091787561079415455926555807637031413797379672960349752032300936028866446950517341458926358021214645584783906377498511243089934977799,5885679091787561079415455926555807637031413797379672960349752032300936028866446950517341458926358021214645584783906377498511243089934977801
8638206491588156170948106159578523184883329806154983702500355518705675232090210199704575903602241188729448672497909390137008858388859324449,8638206491588156170948106159578523184883329806154983702500355518705675232090210199704575903602241188729448672497909390137008858388859324451
10616900108383947465562180673055618809789413246917487088049861610349518677319750660186010323743084011552335869842966023478723867881757218049,10616900108383947465562180673055618809789413246917487088049861610349518677319750660186010323743084011552335869842966023478723867881757218051
10832970437412381571984071066502843947899561231860082097393067150029350437379456965457656281865328650627533590253884919297807132635401679999,10832970437412381571984071066502843947899561231860082097393067150029350437379456965457656281865328650627533590253884919297807132635401680001
11610233018093141710396242744535622407335146725671592008966882861068022718551600658066906007091528853411725739323467121101843221296924592199,11610233018093141710396242744535622407335146725671592008966882861068022718551600658066906007091528853411725739323467121101843221296924592201
15120962524086491050553793525432535283611300601488621682802702617112215558314727514105982279881903605094353719915871592689864797893089861249,15120962524086491050553793525432535283611300601488621682802702617112215558314727514105982279881903605094353719915871592689864797893089861251
17060946255969644693376368968680806744978270455836486050447435949852712390718647249443694545501136932591414462259461430263021428206712428049,17060946255969644693376368968680806744978270455836486050447435949852712390718647249443694545501136932591414462259461430263021428206712428051
25472068770138349866802322361173581843935014806371019373606043122296536996690294125463392485980833487696654254023979354939771631509886644999,25472068770138349866802322361173581843935014806371019373606043122296536996690294125463392485980833487696654254023979354939771631509886645001
27680510235471235599994105993600038848076932348548939475394163088179685911201787039776860176188705310767459907518483137206830433710132031249,27680510235471235599994105993600038848076932348548939475394163088179685911201787039776860176188705310767459907518483137206830433710132031251
28496402038696360168929780460035361606122258703007777123229790390032140808491252148304779207272626860247052588784522838162384217025332353799,28496402038696360168929780460035361606122258703007777123229790390032140808491252148304779207272626860247052588784522838162384217025332353801
35554077591338609281770207254001827675974370883247304481728502811039685459276962019980055959637937043607981836768185007345662201521014031249,35554077591338609281770207254001827675974370883247304481728502811039685459276962019980055959637937043607981836768185007345662201521014031251
36500870327518781994182093763314726959911990289736493937336077055101606351609622520725869264959095587531268370609070852039049131943114756049,36500870327518781994182093763314726959911990289736493937336077055101606351609622520725869264959095587531268370609070852039049131943114756051
