Twin 1,Twin 2
4576813194188861116223230827942420487297156031448424546386402460938497326819727125200589343941379206971541533677096375106125996029465417777948799,4576813194188861116223230827942420487297156031448424546386402460938497326819727125200589343941379206971541533677096375106125996029465417777948801
4609656322602017364482866532543432366374825654473685241919746059409961829746462857281200143413291925416833017636053923118695312424936690783601249,4609656322602017364482866532543432366374825654473685241919746059409961829746462857281200143413291925416833017636053923118695312424936690783601251
4641798247729953304920971705676929663113785422224987925118793348600768447747100187227514428595109042856731961241520302218946034443097969068120449,4641798247729953304920971705676929663113785422224987925118793348600768447747100187227514428595109042856731961241520302218946034443097969068120451
4670766715217440500055575947468309896139616377549743390193782508410404420578979522939046527306978841674496039119539318222764439865896474114158049,4670766715217440500055575947468309896139616377549743390193782508410404420578979522939046527306978841674496039119539318222764439865896474114158051
5008113239830108226983653824778286737192818033273870410288369216472197107535193209597184814132740039518644503500616571810966676548986035747379999,5008113239830108226983653824778286737192818033273870410288369216472197107535193209597184814132740039518644503500616571810966676548986035747380001
5203273971530597609137670571702010616477515691381843550530477688770610427259733318020422600934016191074032493832476548467472213919828486343248199,5203273971530597609137670571702010616477515691381843550530477688770610427259733318020422600934016191074032493832476548467472213919828486343248201
5205296427627151286499885275955927936722302735538236432049870841544834936839536090474872531210570944948602965196475893557171520838634062116368049,5205296427627151286499885275955927936722302735538236432049870841544834936839536090474872531210570944948602965196475893557171520838634062116368051
5806864305889962771322198972141343410843770563449931975568521216914009043635061488713825740887370926631921657848319828740766380815582487041721799,5806864305889962771322198972141343410843770563449931975568521216914009043635061488713825740887370926631921657848319828740766380815582487041721801
5910784798143045432912755108325900563962190097247335168110556701093780172863355897306921831414029326026217586048543161916454134790315106064136449,5910784798143045432912755108325900563962190097247335168110556701093780172863355897306921831414029326026217586048543161916454134790315106064136451
6138950769286408853532000530402989349060651069623300828806024766461142662623014662370191715163589653218702191319663134105720586731743982249600449,6138950769286408853532000530402989349060651069623300828806024766461142662623014662370191715163589653218702191319663134105720586731743982249600451
7853899990589650502844711971627569578457010374115300908478097193568428465891791497222181659639567387395594767203033567331082377864642604327372799,7853899990589650502844711971627569578457010374115300908478097193568428465891791497222181659639567387395594767203033567331082377864642604327372801
8141856144129127006226223667142601624183853279520398549736252710154575943361619807985166168538887859277919234116272140106701573385020431589779999,8141856144129127006226223667142601624183853279520398549736252710154575943361619807985166168538887859277919234116272140106701573385020431589780001
8608760755486272300105415126886651826044704824683484759118246581798833743997863782361142086160725473765904773402705616578812704247765656249393799,8608760755486272300105415126886651826044704824683484759118246581798833743997863782361142086160725473765904773402705616578812704247765656249393801
8901800892489109534263342816989782222007332753227082560647839467630697460813272362293702870995754328665258701852608642670523498549781858642688799,8901800892489109534263342816989782222007332753227082560647839467630697460813272362293702870995754328665258701852608642670523498549781858642688801
9011719685320277815011037207851303235518696105867503343194850969587292169334447087344529427946778006858133049462940943015084568759987692279937799,9011719685320277815011037207851303235518696105867503343194850969587292169334447087344529427946778006858133049462940943015084568759987692279937801
9164055167719015014967012555633071049096660296328931923138885940938714322411410637956679734798592919290279188935693212714541349785159688106051249,9164055167719015014967012555633071049096660296328931923138885940938714322411410637956679734798592919290279188935693212714541349785159688106051251
9480743902300703303266095161434742268711858920524941321036580525015081651243540390023796391286831920558850756708713200994924586994911604782604799,9480743902300703303266095161434742268711858920524941321036580525015081651243540390023796391286831920558850756708713200994924586994911604782604801
9975261338837110252437102519321302318889863507463722650005153155954901997546729410157698174280396711609197375375901789934699246295647423840704799,9975261338837110252437102519321302318889863507463722650005153155954901997546729410157698174280396711609197375375901789934699246295647423840704801
10227639316268786447321831240319696539471469687748421347316876066546157880856787771835396567722723483643776769226686439490167018548528074574824449,10227639316268786447321831240319696539471469687748421347316876066546157880856787771835396567722723483643776769226686439490167018548528074574824451
10861731819101569560213070510128502594835139512890050122304085851134835866761188587713975225102736252987745544212250759363953124328199204978251249,10861731819101569560213070510128502594835139512890050122304085851134835866761188587713975225102736252987745544212250759363953124328199204978251251
11046163140050842780681534982102263429883606133347006362224921993342563159146909166692767099103965750950289146340692871953960129243385487013111249,11046163140050842780681534982102263429883606133347006362224921993342563159146909166692767099103965750950289146340692871953960129243385487013111251
11594537508127593516526785780826639420226128703355064217547888954411222403412300167502173516932003444317193737646858376169193984497603177176423199,11594537508127593516526785780826639420226128703355064217547888954411222403412300167502173516932003444317193737646858376169193984497603177176423201
11914545478774406151710840286666107371448782952539479808095138525602377949532270527884592849871044340475020752235655684682305710664212320230120049,11914545478774406151710840286666107371448782952539479808095138525602377949532270527884592849871044340475020752235655684682305710664212320230120051
12183588595974107841827947797303328547883003622282529234977873689874111239569034371429906316335955053261254302456574398483136928859453045486958049,12183588595974107841827947797303328547883003622282529234977873689874111239569034371429906316335955053261254302456574398483136928859453045486958051
12210569606377270238144736262462948366131992860513660843390666609884684010227595862224392424820587882813003458063924758341680107034764772883720199,12210569606377270238144736262462948366131992860513660843390666609884684010227595862224392424820587882813003458063924758341680107034764772883720201
12409639625088510750214674107853650921568862355339899357267332012084673555905722585770774336571395848369759043113399538665403779021936937108244999,12409639625088510750214674107853650921568862355339899357267332012084673555905722585770774336571395848369759043113399538665403779021936937108245001
13230306713312837926828790822963544973086554505546302827924007044588699850218723220992696597251396913650515703178799182606231697123434644737279999,13230306713312837926828790822963544973086554505546302827924007044588699850218723220992696597251396913650515703178799182606231697123434644737280001
13353590208583081620659930390856512293890020775506148118580667738870327951790312010738749124439555728247139403577852831657683004509237566392306449,13353590208583081620659930390856512293890020775506148118580667738870327951790312010738749124439555728247139403577852831657683004509237566392306451
13446311927185958889957309357585395629614838443585388261567924767062339741280422283640195615315503247347534749048390678143602966009043393389246449,13446311927185958889957309357585395629614838443585388261567924767062339741280422283640195615315503247347534749048390678143602966009043393389246451
13501168211250437005710318557498724575050315475073788077087768577132834866089777585361666992504562575739985054225474182175081394713104654048781249,13501168211250437005710318557498724575050315475073788077087768577132834866089777585361666992504562575739985054225474182175081394713104654048781251
14308175062296771680707282377227840979566054730356954352653193536666847433271482034038378133814211189579120687787845445419553599954289941198153799,14308175062296771680707282377227840979566054730356954352653193536666847433271482034038378133814211189579120687787845445419553599954289941198153801
14900555832178490122440638934262001304772639808759364667883168405704228337059078527793207521656644898374087387473389938825554172542449999807992199,14900555832178490122440638934262001304772639808759364667883168405704228337059078527793207521656644898374087387473389938825554172542449999807992201
16493170986617582817418281029444579387165832024394937617801873160343591042274966943917536171031634293253837437588850997667711227272490003093738449,16493170986617582817418281029444579387165832024394937617801873160343591042274966943917536171031634293253837437588850997667711227272490003093738451
17322167727473242115028393484487874181879316957204237298158856020628572143166464936848763061900072300461438114202585538510429333290070998942531249,17322167727473242115028393484487874181879316957204237298158856020628572143166464936848763061900072300461438114202585538510429333290070998942531251
17377558536438166757029092035123693198576439743979077105021446313590454426085012992443791703598069686889617811977273018894197564481199682964844999,17377558536438166757029092035123693198576439743979077105021446313590454426085012992443791703598069686889617811977273018894197564481199682964845001
19017935890097299462874468852276285910845107450008934941133076327966493412331457085455522162273863991691272272723479156029064437066751269266838449,19017935890097299462874468852276285910845107450008934941133076327966493412331457085455522162273863991691272272723479156029064437066751269266838451
19859372562287290874742156652732491125453053751494021758550551909849451261971267743125395985078157477780181465644984447161487582546799359351929799,19859372562287290874742156652732491125453053751494021758550551909849451261971267743125395985078157477780181465644984447161487582546799359351929801
20840260801738527263184063742183904263830329339889659914338640982937520423817134055580165913978467098627619574626341344788145271925893170427380049,20840260801738527263184063742183904263830329339889659914338640982937520423817134055580165913978467098627619574626341344788145271925893170427380051
21087868559766290576809452372664237854758741017355911741820749353413957370637686808960390310712734361898267295019832884650963990993149501713280199,21087868559766290576809452372664237854758741017355911741820749353413957370637686808960390310712734361898267295019832884650963990993149501713280201
21311205713824061395480849279688140109699529363131551091779382611789091186839672659802253592811444072801061491854186631021908947466990080794276049,21311205713824061395480849279688140109699529363131551091779382611789091186839672659802253592811444072801061491854186631021908947466990080794276051
21595121261877480706323619519063141882085351489259771990701848693190598449475578836767150779151808027386764340022725913243050640695012988085261249,21595121261877480706323619519063141882085351489259771990701848693190598449475578836767150779151808027386764340022725913243050640695012988085261251
21677595904878882696936647014016159471615452294804643879784317520566019388079852282321893740922958710017997202324468786243487880828176202150031249,21677595904878882696936647014016159471615452294804643879784317520566019388079852282321893740922958710017997202324468786243487880828176202150031251
21901655310550836860033555888241845511094909824652645757599179557998005143123683485875944609873504289044688531307787210494359359520155416116236799,21901655310550836860033555888241845511094909824652645757599179557998005143123683485875944609873504289044688531307787210494359359520155416116236801
22362811679006750411605995519476448175669554793216895589289435530130572724751303971968453614867425723084796325555217177163012066932002235075408199,22362811679006750411605995519476448175669554793216895589289435530130572724751303971968453614867425723084796325555217177163012066932002235075408201
23374792065697583765704238297636553317904907580342705750525048720824500178685971896006562087268640285817255478481038194478982271945905949728976049,23374792065697583765704238297636553317904907580342705750525048720824500178685971896006562087268640285817255478481038194478982271945905949728976051
25711303646219474273342027197318020944650360077445011864066510191765497767607205876635402130322425379162276439995380415759700505156130170600809799,25711303646219474273342027197318020944650360077445011864066510191765497767607205876635402130322425379162276439995380415759700505156130170600809801
