Twin 1,Twin 2
37831695062636542308615412847978034853679102364186895171197154348272210915625522239174979511845865701661337737664074044485171441760799,37831695062636542308615412847978034853679102364186895171197154348272210915625522239174979511845865701661337737664074044485171441760801
48802667782063562730444200811156586389872515316292690545875638657661787326400138723959840253249675500601547343554993166647070698756449,48802667782063562730444200811156586389872515316292690545875638657661787326400138723959840253249675500601547343554993166647070698756451
123389910910314352090448601916440440739811528191371956645591696977553447735415008234410370700921997578501325004238027049017401330031249,123389910910314352090448601916440440739811528191371956645591696977553447735415008234410370700921997578501325004238027049017401330031251
373170736632639462888383253545394666632067827068774310054543926884904172770594456970167573773393880587665032144664418462708645809164799,373170736632639462888383253545394666632067827068774310054543926884904172770594456970167573773393880587665032144664418462708645809164801
514132231315268897182868793750475036539964193200706344300009468599249386656567399404051291039773241577628599532449420132434643222056449,514132231315268897182868793750475036539964193200706344300009468599249386656567399404051291039773241577628599532449420132434643222056451
604506109728880099592941904498591813300493742173022682809858792149998199196854880760049692703476036167933587191435697951041915869012049,604506109728880099592941904498591813300493742173022682809858792149998199196854880760049692703476036167933587191435697951041915869012051
976369636442926578179776225453817485100971483703825535053767589025088212576606643660030746226924145037451431241091812555949676818947199,976369636442926578179776225453817485100971483703825535053767589025088212576606643660030746226924145037451431241091812555949676818947201
1100454143157314272882769929467440658639089880652299140536065224541553026231608867232700256994832641420752985342804972633547147005779999,1100454143157314272882769929467440658639089880652299140536065224541553026231608867232700256994832641420752985342804972633547147005780001
2000163951257761727106158703925554000064024701153419907729879979066993350134666118925170670433045514377898688518165727741399069870031249,2000163951257761727106158703925554000064024701153419907729879979066993350134666118925170670433045514377898688518165727741399069870031251
2130823920902299609923679768169932564063589945182000752078582061840021629114150479935967594467012018877809453022828342331311640868848449,2130823920902299609923679768169932564063589945182000752078582061840021629114150479935967594467012018877809453022828342331311640868848451
2145453190549353026187674775894495368070918331550222958793759472892214490659244563985850042497512183247778716314815142686865550839660049,2145453190549353026187674775894495368070918331550222958793759472892214490659244563985850042497512183247778716314815142686865550839660051
2219788638572213717417734739399934124278734400392685217491318524968769768542945614708301092855144320080610321078930771644040336101056449,2219788638572213717417734739399934124278734400392685217491318524968769768542945614708301092855144320080610321078930771644040336101056451
2238680371613555667275897491947871951941962796171379821692632120630261725949417282797469787836281767515089034599862525904361684069010049,2238680371613555667275897491947871951941962796171379821692632120630261725949417282797469787836281767515089034599862525904361684069010051
2257431092252448558782702734812626240181848311261931772827448013581931294268412545793814754036767196660994386249107191312039025724572799,2257431092252448558782702734812626240181848311261931772827448013581931294268412545793814754036767196660994386249107191312039025724572801
2291602168772512600707848924036377571844332030499935357238967996782345386227001964716085668934924478607691529177639203399419392243360199,2291602168772512600707848924036377571844332030499935357238967996782345386227001964716085668934924478607691529177639203399419392243360201
2930139776716818214651841270368435194728526071766333489683085047901582213616694587683738064051982563360888320264158957200078531874542049,2930139776716818214651841270368435194728526071766333489683085047901582213616694587683738064051982563360888320264158957200078531874542051
4061990639475152347304983588768692951589144795286247738556267512763803160352556080083211181806389238625332741925406408544313552936036449,4061990639475152347304983588768692951589144795286247738556267512763803160352556080083211181806389238625332741925406408544313552936036451
4123305085487656899666367658710340173697401240642822142494517184724798991073961832920945651806288198963675222111717829677083692222536449,4123305085487656899666367658710340173697401240642822142494517184724798991073961832920945651806288198963675222111717829677083692222536451
4221275244711403352743574713968226709745566924409323508305341115472212466250350181632925617534373886108942661014121725820108157200796049,4221275244711403352743574713968226709745566924409323508305341115472212466250350181632925617534373886108942661014121725820108157200796051
4673830530586252203671251732949464979591609792541322527392835357071795231032380980233916123640283904420587858882420605508787122886023199,4673830530586252203671251732949464979591609792541322527392835357071795231032380980233916123640283904420587858882420605508787122886023201
