Number,Primes +1,Primes -1,Twins,Is Prime
50814,7418,7350,952,false
50815,3092,3128,267,false
50816,4928,4980,325,false
50817,4041,3992,583,false
50818,4919,4858,312,false
50819,2510,2494,171,false
50820,11874,11920,2701,false
50821,2501,2487,169,true
50822,4952,4937,272,false
50823,3725,3713,475,false
50824,4900,4896,304,false
50825,3271,3279,301,false
50826,7638,7585,1059,false
50827,2982,2929,217,false
50828,4998,4989,325,false
50829,3723,3674,480,false
50830,7438,7507,726,false
50831,2724,2712,198,false
50832,7343,7467,970,false
50833,2454,2453,170,true
50834,5777,5779,469,false
50835,4607,4635,778,false
50836,5026,4981,305,false
50837,2517,2576,166,false
50838,7586,7608,979,false
50839,2506,2510,164,true
50840,6434,6505,552,false
50841,4347,4396,661,false
50842,5486,5433,387,false
50843,2694,2679,170,false
50844,7797,7916,1069,false
50845,3080,3033,258,false
50846,4888,5001,305,false
50847,3920,3912,522,false
50848,5772,5770,458,false
50849,2453,2436,143,true
50850,9385,9357,1612,false
50851,2458,2502,168,false
50852,4872,4943,300,false
50853,4301,4303,618,false
50854,5039,5069,339,false
50855,3528,3677,364,false
50856,8095,8123,1145,false
50857,2459,2478,168,true
50858,5026,4957,322,false
50859,3750,3680,473,false
50860,6221,6227,562,false
50861,2525,2475,152,false
50862,8701,8669,1314,false
50863,2605,2638,172,false
50864,5741,5777,461,false
50865,4577,4562,769,false
50866,5192,5198,321,false
50867,2434,2438,140,true
50868,7465,7386,988,false
50869,3142,3247,265,false
50870,6103,6103,490,false
50871,3898,3875,496,false
50872,4906,4937,320,false
50873,2474,2491,150,true
50874,7512,7623,1025,false
50875,3428,3473,344,false
50876,6123,6011,477,false
50877,3734,3733,463,false
50878,4911,5046,325,false
50879,2467,2476,157,false
50880,9434,9469,1698,false
50881,2736,2733,207,false
50882,5661,5644,438,false
50883,4411,4335,706,false
50884,4876,4941,311,false
50885,3097,3030,261,false
50886,8272,8164,1177,false
50887,2532,2468,165,false
50888,4974,4980,329,false
50889,3717,3715,469,false
50890,7172,7246,747,false
50891,2426,2437,168,true
50892,7414,7376,973,false
50893,2454,2512,157,true
50894,4940,4894,322,false
50895,5200,5246,1038,false
50896,4912,4935,312,false
50897,3186,3166,290,false
50898,7874,7836,1074,false
50899,2590,2543,152,false
50900,6181,6095,525,false
50901,4012,3982,587,false
50902,5132,5074,330,false
50903,2473,2518,157,false
50904,8744,8668,1310,false
50905,3084,3102,277,false
50906,5008,4872,297,false
50907,3738,3815,507,false
50908,5953,5966,489,false
50909,2479,2429,145,true
50910,9171,9369,1592,false
50911,2849,2880,247,false
50912,5192,5198,346,false
50913,3646,3745,485,false
50914,4923,4979,325,false
50915,3287,3258,290,false
50916,7437,7341,962,false
50917,2546,2525,155,false
50918,5719,5854,463,false
50919,4024,4053,581,false
50920,6600,6598,614,false
50921,2729,2698,193,false
50922,7965,7906,1110,false
50923,2431,2512,175,true
50924,5115,5163,354,false
50925,5538,5512,1162,false
50926,4998,4885,306,false
50927,2481,2505,156,false
50928,7404,7459,949,false
50929,2504,2449,168,true
50930,6864,6841,689,false
50931,3645,3679,470,false
50932,6239,6218,488,false
50933,2562,2585,181,false
50934,8032,8140,1087,false
50935,3171,3181,270,false
50936,4916,4966,329,false
50937,3740,3747,497,false
50938,4909,4942,334,false
50939,3114,3025,231,false
50940,9311,9296,1616,false
50941,2763,2730,205,false
50942,4993,4834,290,false
50943,3623,3655,439,false
50944,4934,4954,304,false
50945,3224,3167,282,false
50946,8638,8577,1301,false
50947,2613,2584,198,false
50948,5054,5015,323,false
50949,4121,4072,549,false
50950,6077,6231,516,false
50951,2408,2470,141,true
50952,8098,8183,1147,false
50953,2989,2997,255,false
50954,5053,5032,338,false
50955,4743,4790,839,false
50956,4946,4945,300,false
50957,2526,2407,170,true
50958,7933,7909,1058,false
50959,2465,2535,167,false
50960,7780,7848,886,false
50961,3682,3727,487,false
50962,5060,5060,315,false
50963,2879,2801,209,false
50964,7689,7698,1020,false
50965,3028,3085,268,false
50966,5326,5203,384,false
50967,4288,4262,678,false
50968,5222,5291,373,false
50969,2545,2420,170,true
50970,9152,9254,1517,false
50971,2444,2459,164,true
50972,5004,4945,339,false
50973,3969,3987,524,false
50974,6418,6380,535,false
50975,3087,3048,251,false
50976,7492,7613,956,false
50977,2605,2551,187,false
50978,5043,5047,341,false
50979,3704,3702,435,false
50980,6228,6191,555,false
50981,2886,2894,220,false
50982,7706,7708,1014,false
50983,2619,2577,162,false
50984,4961,4881,305,false
50985,5189,5092,947,false
50986,5580,5634,408,false
50987,2444,2546,162,false
50988,8596,8675,1299,false
50989,2475,2486,168,true
50990,6183,6078,526,false
50991,3906,3858,546,false
50992,4913,4930,298,false
50993,2433,2462,155,true
50994,7422,7374,953,false
50995,3726,3786,367,false
50996,5899,5850,467,false
50997,3775,3827,506,false
50998,5086,5030,322,false
50999,2678,2712,188,false
51000,9853,9788,1830,false
