Number,Primes +1,Primes -1,Twins,Is Prime
835,79,89,11,False
836,152,163,21,False
837,104,105,19,False
838,136,154,14,False
839,64,63,5,True
840,281,289,96,False
841,72,64,9,False
842,138,142,16,False
843,100,109,26,False
844,144,131,13,False
845,95,93,14,False
846,201,219,47,False
847,87,88,13,False
848,133,145,18,False
849,111,104,25,False
850,187,178,29,False
851,69,76,8,False
852,209,197,46,False
853,60,75,10,True
854,157,154,19,False
855,148,132,45,False
856,125,137,12,False
857,72,61,8,True
858,251,250,64,False
859,71,72,5,True
860,160,180,22,False
861,122,118,33,False
862,143,138,16,False
863,69,68,5,True
864,207,211,48,False
865,84,81,10,False
866,144,137,11,False
867,115,105,27,False
868,163,172,26,False
869,74,83,12,False
870,279,260,77,False
871,81,76,5,False
872,144,143,16,False
873,99,118,20,False
874,159,151,17,False
875,105,95,19,False
876,216,210,44,False
877,66,62,9,True
878,134,135,12,False
879,111,105,24,False
880,187,195,30,False
881,89,62,7,True
882,256,246,63,False
883,74,62,6,True
884,159,162,24,False
885,133,129,34,False
886,162,138,18,False
887,70,70,8,True
888,212,212,47,False
889,88,89,14,False
890,178,168,22,False
891,120,118,26,False
892,140,136,11,False
893,72,75,14,False
894,227,209,49,False
895,93,87,8,False
896,157,160,18,False
897,111,129,28,False
898,140,143,11,False
899,76,77,7,False
900,269,268,63,False
901,75,78,8,False
902,170,159,15,False
903,131,132,30,False
904,137,142,10,False
905,83,91,11,False
906,224,217,45,False
907,65,83,7,True
908,135,146,14,False
909,109,109,24,False
910,238,223,43,False
911,72,73,5,True
912,232,229,48,False
913,80,75,9,False
914,146,138,16,False
915,133,144,34,False
916,147,140,17,False
917,86,78,10,False
918,237,223,47,False
919,80,67,4,True
920,181,183,23,False
921,109,108,24,False
922,157,147,11,False
923,89,75,10,False
924,270,276,67,False
925,87,92,8,False
926,155,148,17,False
927,118,118,32,False
928,158,145,15,False
929,66,69,5,True
930,282,271,70,False
931,86,89,12,False
932,138,154,13,False
933,115,102,24,False
934,160,146,16,False
935,109,101,10,False
936,243,242,56,False
937,81,67,12,True
938,178,171,20,False
939,107,114,18,False
940,184,196,25,False
941,80,63,7,True
942,223,216,51,False
943,86,79,8,False
944,147,138,18,False
945,168,164,57,False
946,167,169,16,False
947,78,71,8,True
948,234,204,54,False
949,76,89,8,False
950,200,203,28,False
951,114,117,24,False
952,180,187,19,False
953,76,73,9,True
954,223,227,49,False
955,100,90,13,False
956,154,160,13,False
957,133,122,29,False
958,158,145,16,False
959,94,86,7,False
960,279,280,77,False
961,73,75,6,False
962,166,170,11,False
963,112,120,29,False
964,158,157,12,False
965,99,92,11,False
966,268,285,66,False
967,73,76,4,True
968,166,168,18,False
969,120,133,27,False
970,189,198,24,False
971,79,78,8,True
972,212,228,43,False
973,85,90,11,False
974,145,163,15,False
975,159,158,57,False
976,145,150,14,False
977,75,82,7,True
978,234,237,47,False
979,98,86,9,False
980,236,219,34,False
981,116,123,24,False
982,148,157,17,False
983,77,82,11,True
984,233,248,57,False
985,89,105,13,False
986,178,173,21,False
987,137,139,32,False
988,168,181,26,False
989,88,82,12,False
990,337,323,103,False
991,78,74,8,True
992,155,163,20,False
993,127,117,30,False
994,190,182,20,False
995,101,92,11,False
996,228,221,49,False
997,77,76,5,True
998,163,167,16,False
999,111,115,23,False
1000,195,196,27,False
